repetition,exercise_id,correctness,anomaly_rate
1,6,1,0.475
2,6,1,0.375
3,6,1,0.35135135135135137
4,6,1,0.4
5,6,1,0.46875
6,6,1,0.5106382978723404
7,6,1,0.4146341463414634
8,6,1,0.3469387755102041
9,6,1,0.3
10,6,1,0.3617021276595745
11,6,1,0.2727272727272727
12,6,1,0.3333333333333333
13,6,1,0.375
14,6,1,0.3870967741935484
15,6,1,0.45454545454545453
16,6,1,0.4375
17,6,0,0.41935483870967744
18,6,1,0.5945945945945946
19,6,1,0.5227272727272727
20,6,1,0.5853658536585366
21,6,1,0.5476190476190477
22,6,1,0.5238095238095238
23,6,0,0.7037037037037037
24,6,0,0.59375
25,6,0,0.6428571428571429
26,6,0,0.5925925925925926
27,6,0,0.7333333333333333
